draw_date,number1,number2,number3,number4,number5,powerball,Multiplier
10/7/15,18,30,40,48,52,9,3
10/10/15,12,27,29,43,68,1,2
10/14/15,15,20,29,31,40,1,2
10/17/15,48,49,57,62,69,19,3
10/21/15,30,32,42,56,57,11,4
10/24/15,20,31,56,60,64,2,3
10/28/15,4,54,56,62,63,10,2
10/31/15,9,20,25,47,68,7,2
11/4/15,2,12,17,20,65,17,4
11/7/15,7,16,25,50,53,15,2
11/11/15,4,26,32,55,64,18,3
11/14/15,14,22,37,45,66,5,3
11/18/15,17,40,41,46,69,6,2
11/21/15,37,47,50,52,57,21,3
11/25/15,16,29,53,58,69,21,2
11/28/15,2,6,47,66,67,2,3
12/2/15,14,18,19,32,64,9,2
12/5/15,13,27,33,47,68,13,2
12/9/15,7,10,16,46,56,1,2
12/12/15,2,14,19,30,62,22,2
12/16/15,9,10,32,42,55,6,2
12/19/15,28,30,41,59,68,10,2
12/23/15,16,38,55,63,67,25,4
12/26/15,27,40,44,59,65,20,2
12/30/15,12,36,38,54,61,22,3
1/2/16,5,6,15,29,42,10,2
1/6/16,2,11,47,62,63,17,3
1/9/16,16,19,32,34,57,13,3
1/13/16,4,8,19,27,34,10,2
1/16/16,3,51,52,61,64,6,2
1/20/16,5,39,44,47,69,24,5
1/23/16,22,32,34,40,69,19,4
1/27/16,3,12,40,52,67,21,2
1/30/16,5,12,16,31,43,18,4
2/3/16,26,28,31,60,67,23,3
2/6/16,4,13,31,36,52,8,3
2/10/16,2,3,40,50,62,5,2
2/13/16,7,15,18,19,36,20,2
2/17/16,7,17,27,29,40,25,2
2/20/16,11,12,15,16,54,25,5
2/24/16,21,31,64,65,67,5,3
2/27/16,10,11,21,22,53,18,3
3/2/16,12,13,44,52,62,6,2
3/5/16,3,27,34,59,69,19,2
3/9/16,14,23,32,34,68,3,3
3/12/16,11,28,50,57,62,23,2
3/16/16,10,12,13,46,50,21,3
3/19/16,11,23,43,54,60,3,3
3/23/16,5,8,15,22,49,25,3
3/26/16,11,23,42,52,68,6,3
3/30/16,24,44,53,55,63,19,2
